title,content
Introduction,"The Get it Right Initiative has been established to help the construction industry to understand the causes, and reduce the impacts, of error and rework. This section of the report looks at academic and industry research into error and rework in construction, and explores some of the proposals which have been made to reduce the cost of rework and improving quality. It is important to note at the outset that the definition of rework includes both necessary rework – arising from client changes – and unnecessary rework, brought about by errors in the development process. This cost of rework has become such an endemic feature in the construction process that contracting organisations now build expectations of time and cost overruns into their procurement processes (Love &amp; Li 2000) In the UK, the Egan Report – Rethinking Construction (Egan 1998) – suggested that up to 30% of construction is rework. The report went on to make suggestions as to how to reduce this figure, setting a target of 20% reduction in defects (on handover) per year, assuming that zero defect construction could be achieved in five years. The Egan recommendations covered procurement and efficiency enhancements, and adopting process improvements to increase consistency and efficiency. Such an improvement would have a dramatic impact on the costs of construction and contribute significantly towards the Construction 2025 targets of a 33% reduction in the initial cost of construction. However, while progress has been made in reducing error and rework since Egan, industry surveys suggest that progress remains slow. For example looking at the latest Glenigan construction industry KPI reports for Constructing Excellence, we can see that there is a marked improvement on defects at handover since 2001. There remains more to do, with only 71% of clients rating their satisfaction with regard to defects at handover as eight out of ten or better. The impact of rework and error is not a phenomenon restricted to the UK; work on the impacts and causes of rework has been undertaken in many countries, with key papers emanating from Australia, Singapore, South Africa, the USA, Canada and the UK."
Objectives,"<ul>
 	<li>To generate a significant change in the efficiency of the UK construction industry through reducing the amount of errors made in construction.</li>
 	<li>To undertake research to identify, evaluate and prioritise the principal systemic errors in the construction process.</li>
 	<li>To develop a strategy to address these errors and in particular to address deficiencies in skills. To develop new training products and processes to address the skills deficiencies (To be covered in a later phase).</li>
</ul>"
Organisation,"<h2>The Research Team</h2>
This research team for this phase of the Get It Right Initiative was led by Ed McCann and Tom Barton.

Ed McCann is a Director of Expedition Engineering; he is an innovative and creative designer. Ed is a Fellow and Trustee of the ICE and chairs their National Best Practice Panel. Ed is also a Royal Academy of Engineering Visiting Professor of Innovation at University College London and Strathclyde University.

Tom Barton is a Fellow of the Institution of Civil Engineers. He has had over 40 years’ experience working firstly with John Mowlem and Company and for the last 18 years with Sir Robert McAlpine Ltd working on some significant projects mainly in the UK but also overseas. Tom was the Deputy Regional Manager (London and South East) for Sir Robert McAlpine, and before that a Director of John Mowlem &amp; Co. plc.

Their principal assistant was Bruce Martin, Associate Director, Expedition Engineering, MIStructE.

The literature review was completed by Kell Jones, Research Engineer, Chartered Accountant and Architectural Planner, Expedition Engineering and University College London.

The Steering Group This phase of the Get It Right Initiative has been guided by a Steering Group which includes:

Malcolm Corlett Head of Civil Engineering BAM Nuttal
David Anderson Head of Business Process &amp; Quality BAM Nuttall
Damian Leydon Operations Director Berkeley Group
Simon Taylor Group HS&amp;E Director Byrne Brothers
Zara Lamont Performance Improvement Director Carillion
Howard Tinkler Quality and Compliance Director Carillion
Paul Cannon Commercial Manager Carillion
Clive Loosemore Director Costain
Emer Murnaghan Head of Business Improvement GRAHAM Construction
John Price Managing Director Keltbray
John Podmore Business Improvement Manager One Alliance
David Ansell Associate Director Prater
Cliff Smith Business Improvement Manager Sir Robert McAlpine
Expedition Engineering Ltd Get It Right Initiative, Research Report Revision 3, April 2016 Page 4
Jim Neill Company Chief Engineer Sir Robert McAlpine
Ian Kirkaldy Chief Engineer Southern Water
Barrie Nightingale Director T. Clarke
Emma McNab Business Excellence Manager Taylor Woodrow
John Shannon Programme Director Wates

Additional oversight has been provided by Hayley Monksfield, David Plummer and Richard Bayliss of the CITB
<h2>Contributors</h2>
The following organisations have contributed to this phase of the Get It Right Initiative:
Alinea Consulting
Anglian Water
BAM Nuttall
Berkeley St James Group
Byrne Group
Carillion
CITB
Costain
GRAHAM Construction
Imtech
Keltbray
Prater Limited, Linder UK Group
Qatar National Bank (QNB)
Scotch Partners
Sir Robert MacAlpine
Southern Water
Stanhope
Taylor Woodrow
Wates

We are very grateful for all of the contributions of time and finance.
<h2>Supported by</h2>
Letters of support for the Get It Right Initiative have been received from:
Civil Engineering Contractors Association (CECA)
Construct – Concrete Structures Group
Severfield (UK) Ltd
The Department for Business Innovation &amp; Skills
The Institution of Civil Engineers"
Skills Development Programme,"A key finding of our study was that inadequate skills are a major contributor to errors in the construction process. This section sets out what we found and what we suggest should be done.
<h2>Skills to Focus On</h2>
The graph below shows how our study group would distribute expenditure to address the problem of error in construction. There is clearly a keen interest in improving skills as well as creating an appropriate culture in relation to quality and error reduction.

Detailed discussions with the study group suggest that the skills of most interest are related to planning, communication and supervision. This was true whether we were talking about trade skills or design skills. Discussions with our study group revealed a rich set of competencies that are required and these are summarised below:
<ul>
 	<li> To have and evaluate ideas against appropriate subjective and objective criteria</li>
 	<li> To exercise judgement and make good decisions</li>
 	<li> To be able to deal appropriately with change</li>
 	<li> To communicate effectively using means appropriate to the circumstances</li>
 	<li> To form and maintain effective working relationships.</li>
</ul>
<h2>Base Knowledge Requirements</h2>
All of these competencies depend to some extent on having a broad knowledge of the whole process. A common observation was that poor decisions were often made, because of a lack of understanding of the implications. For example: designers who don’t know about the construction or commissioning process; buyers who don’t understand the implications of substituting one drainage pipe system for another; or contractors who don’t understand the significance of overloading a key structural element during installation.
<h2>Getting the Culture Right</h2>
As well as better knowledge of the overall procees it is important that all concerned develop and exercise respect for the others involved. It is often the case that a lack of knowledge of what others do goes with a lack of respect for them or their role and this greatly impedes effective relations and communication.

It is also critical that people need to want to do the job well. They need to have the right frame of mind and to believe in what they do. This applies equally to the person making sure that the site is a fit place to do the work well by keeping it clean and tidy as to the designer who will want to make sure that his or her details are clear and unambiguous so as to eliminate error.

These themes are common with those found in Cultural Awareness and Behavioural Safety Programmes that are currently used by the Industry.

Without wanting to diminish the Safety messages one proposal would be to adapt these programmes to include an approach to quality.
<blockquote>It is important that all concerned develop and exercise respect for the others involved.</blockquote>
Experience in developing a more effective Health &amp; Safety culture has taught us the importance of Clients and Shareholders in creating an environment that requires change led from the top level of construction companies. As such we recommend a programme of briefings targeted at major clients and appropriate industry analysts to raise awareness about the true cost of error.

We know that many people working in our industry take pride in their work and are frustrated when things go wrong. A key objective of the campaign described above is to get people to take pride in their work and to engage with reducing the amount of errors that are made.

We recommend that, as appropriate, we make use of the sort of change management techniques that have been deployed over the last few years in relationship to Health &amp; Safety
<h2>The Skills Development Programme</h2>
The points above form the basis for a skills development programme that we believe needs to be implemented across the construction sector. Recognising the complexity and scale of the sector we propose a two pronged approach:

a. New entrants to the construction sector through initial training and qualification

b. Existing workers in the construction sector through on the job training or CPD and re-qualification.

For new entrants our proposal is to work with those responsible for the qualification standards to ensure that the required competencies are identified at the correct level. In relation to trade qualifications this means working with relevant sector skills councils, including Construction Skills, and influencing the National Occupational Standards.

The Trailblazer Apprenticeships are a key entry route to the sector and we would look to work with this programme to ensure that the competencies described above are properly addressed through the apprenticeships.

In relation to Professional Qualifications this means working with the relevant Professional Institutions. In relation to existing workers we would work with those responsible for requalification or revalidation (ie through carding schemes) or for CPD through the Professional Institutions.

We believe that there will be a significant demand for training and development in this area from major employers and we expect both in-house and external commercial training companies to play a key role in this sort of skills development.

We would also seek to influence those responsible for the provision of skills training to develop a high quality offer in this area. Key players would include the CITB, CECA, FE and HE institutions, and the training arms of the Professional Institutions for example.

The techniques that we should use In all cases we believe that there is a need for blended learning techniques to be developed and implemented to facilitate efficient and cost effective training. Examples
of the more innovative sorts of techniques that we would expect to see are set out below. To develop broad knowledge of the construction sector we would advocate the use of tools like Engineering
Mastermind.

This is an online game which helps people to develop a broad knowledge of the construction industry through reward based game play. Similarly, we would expect construction activity simulators to be used to help develop planning skills.

For example Concrete Sim is a concept for an online simulator of concrete pours where the player plans and undertakes a concrete pour in a simulator environment. This is just a simplified version of a flight simulator but would allow the player to develop skills of planning and hone their skills in optimising activities and dealing with unexpected events like a pump failure in the middle of the operation.
Online videos showing key construction activities are already a key resource for construction workers and we advocate the development of a full and kite marked set of online videos for the UK construction industry. These would help in the development of skills both at the time of qualification but also serve as a refresher providing just in time competence!

Similarly, tools such as Student Studio could provide an excellent and cost effective means by which people develop an overview of the whole construction process.

Student Studio is an online platform that provides a range of structured role-play-based construction and engineering projects. Finally, the Constructionarium and the Big Rig are examples of educational techniques that allow the user to develop their construction skills outside the high pressure environment of the construction site.

We believe that the CITB should play a key role in developing such techniques."
Acknowledgements,"We held five productive meetings with the steering group. In addition we met on an individual basis with each of the companies represented on the steering group and a number of other companies as identified in section 4.2 below. All of these meetings were very open and very instructive.

We would like to thank all of the companies and people for all of their time and input. Many other people have given their time and knowledge, not least the 143 construction industry professionals who anonymously responded to an online questionnaire which was circulated by the Get It Right research team."
Improve Management Processes and Systems,"Through our research two processes have been identified as the key sources of error when they are poorly implemented:
• Design Management
• Construction Planning
Key issues in this area and our suggestions are set out below.
<h2>A common language to describe error</h2>
Our research showed that there is a general lack of coherence about the way we use and understand terms like: error, defect, cause, effect, direct vs indirect costs, tangible vs intangible impacts for example.
This is important because it impedes effective communication and the development of a shared understanding of the issue. This situation is analogous to the position relating to construction Health &amp; Safety
in the 1970s and 1980s before there was a common understanding of terms like risk, hazard, harm, mitigation, and so on.

A common language and understanding around the subject is essential.

In our view, the existence of a common language and understanding around the subject is essential if we are to make progress. As such we propose producing simple models describing the error process and its consequences using construction appropriate vocabulary for adoption across the sector.

In doing this we advocate careful consideration of the terms already in use and proper reference to other sectors like the automotive industry where they have more formalised and developed approaches to the subject of error.
<h2>Identifying errors and the costs of error</h2>
Our research reveals that, with a few notable exceptions, relatively little is done to identify and record the costs and causes of error in the construction sector.

Where data is collected it tends to relate to defects (ie the outcome of errors) at a contractual handover rather than the causes. The data collected usually relates to the number and type of defects with information about cost limited to the main contractor’s management costs. We found no evidence that designers were systematically collecting data about errors in their work.

As a result there is very little hard data produced about the costs and causes of error in the UK construction industry.
We agree with the saying that “if you can’t measure it you can’t manage it” and as such we believe that suitable measurement techniques need to be developed.

However, we consider it essential to avoid them creation of cumbersome, data heavy and ultimately impractical systems.

We believe that our industry can learn from others gathering data from complex systems. For example, in the public health sector indirect or proxy indicators and simple screening checks are used to understand what is happening and assess the health of an individual or group of individuals.

In our sector we use indirect indicators in relation to Health &amp; Safety when we measure the Accident Frequency Rate.

In effect we measure the number of “injuries causing greater than seven day absences” and draw conclusions about the overall H&amp;S condition of a project or company. This single measure approach is somewhat simplistic by comparison with the approaches used in the public health sector but is useful nonetheless.

We might consider developing a set of easy to obtain proxy indicators that taken together would provide a reliable indication of the type, frequency and cost of error.

For example, the number and type of Non Compliance Reports or defects on completion may be a reasonable indicator of the error rate. Data on NCRs is already routinely captured. Alternatively there may be more incentive to report the number of inspections passed first time.

Similarly, there was a widely held view in our study group that the quality of “housekeeping” on construction sites was a very good indicator of the quality of construction and the error rate.
The Considerate Contractor Scheme provides scores on the quality of housekeeping which may provide proxy indicators of error rate.

There was a view in the study group that features such as contract variations, programme delays, and staff turnover were all correlated with error.

We suggest that work is done to identify suitable indirect indicators of error. This work would involve research looking in detail at error rates on a representative group of projects to establish the most relevant indirect indicators and their relationship to error rates and cost. The indirect indicators could then be adopted more generally across the sector. The data collected would be used by individual organisations, projects or programmes to benchmark their performance and develop improvement strategies. It is recognised that there is at present a degree of nervousness in going down a route that would ultimately lead to organisations being required to publish data of this nature. This is due to fears that the data will be inconsistent and will therefore not be representative of the true picture. Work needs to be done to ensure consistent and correct reporting.

This is not dissimilar to the issues that were first faced when Health &amp; Safety data was published. In the long run if we are to eliminate error it will be important to find a way of publishing error data in a way that is acceptable to the majority.
<h2>The nature of the design process</h2>
Across the sector there is a surprising lack of a common understanding of the character of the design process.
Specifically, design is an intrinsically iterative process where propositions need to be modified as new information or insights occur.

In the early stages of design the iterations are healthy and welcome in the search for an optimal solution.

Similarly, in the early stages of the design process information is sparse and many assumptions are made.

The design ideas lack detail and design information is coarse. Many contractors fail to understand this fully, believing instead that designers and their clients are indecisive, vague and flaky!

By the construction stage iterations are much less welcome as they can be highly disruptive to the planned construction process and result in delay and increase the chances of error. During construction assumptions are dangerous and detailed information is essential.

Many clients and designers fail to realise this believing instead that the contractors are inflexible, demanding and uninterested in the quality of the outcome!

We believe that it would beneficial to our sector as a whole if all involved were to develop a proper and shared understanding of the real character of the design process. This would make clear that the process is one of refinement where the character of the information produced and levels of certainty are different at different stages of the process.

To this end we suggest the production of a simple but shared model characterising the construction design process which would be adopted in relevant training and educational programmes.

We believe that appropriate investment in the early stages of a project is essential in developing robust proposals which are properly thought through and less likely to need to be changed. It is of course important that money invested in the early stages is well spent and in our experience this is more likely when the Client works closely with the design team.
<h2>Design Management</h2>
The lack of a properly co-ordinated design results in clashes on site and consequent rework and delay.

The main reasons for this reported in our study are:

a. The lead designers and/or design managers lack the skill, fee or desire to properly co-ordinate the design;

b. The ambiguity and confusion about who is responsible for design co-ordination in some D&amp;B contracts; and

c. The trade specialists responsible for key parts of the design are not involved in the pre-construction phase and so design co-ordination happens very late in the overall process.

To deal with the first two of these, Clients and Contractors need to identify and appoint suitably qualified lead designers and design managers, make their responsibilities clear and pay them enough to do the job properly.

There was a view among some in our study group that there was a shortage of suitably skilled and experienced people to fulfil these roles. It was suggested by some that formal training of design managers was overly focused on management systems without enough attention being paid to developing knowledge of procurement &amp; construction practice or the effective management of multi-disciplinary teams.

Clients and Contractors need to identify and appoint suitably qualified lead designers and design managers.

As such we recommend that programmes of training for lead designers and design managers be reviewed to assess and where necessary address this deficiency.

The trade specialist input problem appears to be intractable given current procurement rules and practices.

Generally members of the study group agreed with the common view that the use of BIM during design development can facilitate spatial co-ordination and information handling and as such contribute to the reduction of error in construction.

The use of BIM should deliver a total rigorous design process from inception to completion and will be the key to good design delivery. Over time, the mandatory adoption of BIM should lead to better co-ordination of design and eliminate ambiguity about who is responsible for co-ordination.
<h2>Construction Planning</h2>
<blockquote>Our study group identified ineffective planning as the single biggest cause of errors in construction and several of the other causes in the top ten were planning related.</blockquote>
Several organisations identified the shortage of suitably skilled and experienced construction planners as problematic.

Our study group identified ineffective planning as the single biggest cause of errors in construction.

Some identified the mismatch between the stable and predictable environment assumed by many planners and planning systems, and the reality of many fast moving and changing construction projects.

Some advocated “collaborative planning” a technique that comes from the LEAN construction movement. Advocates reported that when properly used it was very effective at improving the quality and certainty of project outcomes.

Some observed that collaborative planning failed to deliver results when, as was often the case, the parties involved in the planning sessions:

• Did not have aligned contractual interests; or
• Were not empowered to make changes to work plans; or
• Did not know enough to be able to assess the impact of changes proposed on other activities.

Others observed that the uptake of LEAN techniques including collaborative planning remains small across the sector and that traditional planning approaches still predominate. These approaches tend to assume relatively small amounts of change during the process and can be cumbersome and inflexible.

A key issue is that although plans are made circumstanceswill certainly change, rendering the plan obsolete. We should not be surprised by this and indeed we need to plan for it. As an industry we tend to forget the plan and just carry on. We need to develop a standard practice for when things change.

In determining how to improve planning skills in the industry we need to consider the following features:

• Simplicity: Simple systems are easily applied and are
most likely to be used successfully.
• Contingency: A plan should make allowance for
alternative scenarios.
• Adaptability: A plan should be continuously reworked
throughout implementation.
• Resilience: Often it is not possible to immediately
understand the full consequences of change.

Where change is inevitable the system should maximize the team’s ability to quickly assess and respond to emerging requirements.
<h2>Sharing Best Practice about error reduction</h2>
There could be great benefit if we were better able to identify and share best practice. We see the Professional Institutions, trade organisations and major employers leading in this area.

A few examples that came out of our investigation that would fall into the category of best practice include:

• The use of samples or examples of built work showing clearly the quality level required.
• Safety and Quality inductions on projects.
• Regular Board level reviews of performance in relation to quality and error.
• Regular Director level site inspections focused on quality and error as well as safety.
• Proper consideration of quality and error rates in the selection of contractors
<h2></h2>"
Terminology,"Across the construction industry there is wide variation in the language used to discuss errors / defects / snags / rework requirements / non-conformances etc. After investigation and discussion with the Steering Group we have adopted the following definitions for the purpose of the Get It Right initiative:
<ul>
 	<li>An error is any action or inaction which results in a requirement for re-work, a requirement for extra work, or produces a defect,</li>
 	<li>A defect is any failure to meet the project requirements at a handover.</li>
</ul>
&nbsp;

A handover may be from one contractor to another contractor on completion of a package, or a handover may be from a Tier 1 Contractor to a Client on completion of a project. Note that the results of errors which are resolved before a handover are not considered defects. The labour, materials, plant and other resources used in correcting an error are direct costs. The effect on following works and the costs to other parties are indirect costs.

For example if the steel frame was completed late due to correcting an error the cladding contractor would have costs overcoming delays. Regardless of who picks up the contractual liability there is still a cost to the project. A latent defect remains in place after the project has been accepted by the client and any 'defects liability period' has passed.

Unrecorded process waste includes errors which occur, are identified and are corrected without being recorded - for example reinforcement may be refixed without costs being recorded. Unrecorded process waste also includes errors which are not corrected but which do not compromise the end performance of the project - for example concrete used as backfill in place of lower grade fill."
Improve Construction Technology,"<h2>Off-site manufacture</h2>
It is clear that off-site manufacture under controlled conditions can greatly reduce the risk of error in the fabrication and assembly process.

We recommend that in the pursuit of error reduction clients, designers and contractors consider pre-fabrication and off-site manufacture properly throughout the design and construction process.

However, there are a number of challenges to widespread adoption of off-site manufacture across the construction sector. Two of the most significant of these challenges are that using current procurement models off-site manufacture often appears to cost more and be relatively inflexible to change.

We recommend that research into the comparative costs f traditional on-site versus off site approaches properly considers the error costs.

In part a failure to recognise and factor in the full cost of error is one of the reasons why traditional methods appear cheaper than off-site methods when procurement decisions are made.

There may be value in increasing the amount of pre-fabrication in construction projects through regulation. This approach has been used to improve the energy performance of buildings and their
accessibility over recent years. However, in the current political environment it is hard to see any interest in regulatory approaches that might result in increased construction costs.
<h2>Standardisation</h2>
Standardisation of processes or construction elements tends to reduce errors, provided of course that the process or element is itself sound!

It is sometimes argued that there is a conflict between standardisation and “design quality”. Recognising the need for appropriate contextually responsive design it is nonetheless important that we standardise where practical.

As such we encourage clients, designers, contractors and their supply chains to work together to find opportunities for standardisation where appropriate.
<h2>Improvement of construction processes</h2>
One way of reducing errors is to develop and use processes that minimise the risk of error. This is similar in principle to the philosophy that has been developed and used to in relation to Health &amp; Safety risks. Of course it is important to strike a suitable balance between reducing error and maintaining production output rates.

We recommend that a comprehensive review is undertaken into standard construction activities
and processes to identify and develop modified approaches to reduce the risk of error whilst
maintaining production rates.

We believe that this sort of practical research might be appropriately undertaken or arranged by the CITB and or the BRE with input from the trade federations.
<h2>Error minimising construction components</h2>
The more fiddle and faff in a construction task the more likely you are to have errors. This is particularly true for fit-out operations involving connections.

We believe that a concerted effort working with manufacturers to develop standard and practical
details would yield real benefit for the sector.

Details should be developed so that they give a clear indication that the connection is made and secure, /rather like the clunk click that you get with a car seat belt.

There is a need to look outside our industry to learn how others have tackled these issues.
We recommend that a working group is set up to review standard construction technologies and to identify and /as appropriate develop modified approaches.

Again we believe that this sort of practical research might be appropriately undertaken or arranged by /the CITB or BRE with input from the trade federations and manufacturers.

We should engage with the industry to establish those areas and components which cause the most problems so that the research can be focused on actual needs to maximise the benefits."
Financial and Economic Impact of Error,"The financial and economic impact of error and rework in construction varies widely by project, with reported impacts ranging from 0-80% of project costs.

A commonly reported average of 5% (approximately £5bn in the UK) is supported by several papers. However, in the context of a specific project this average is almost meaningless.

Discussion The Egan report quotes a (1998) figure of 30% for the cost of rework in the USA, Scandinavia and the UK. Love &amp; Edwards (2004) showed that earlier work on rework costs reported values of between 3 and 15 per cent of a project’s contract value; Barber et al. (2000) suggest rework might be as high as 23% of contract value; Simpeh et al. (2015) found that the total rework costs range from 0% to 75%.

The degree of variability is akin to another study undertaken by Love (2002), where some respondents reported rework costs to be less than 1% of a project’s original contract value, while others reported them to be as high as 80%’ However, as rework continues to be a significant issue for the industry, commentators tend to put the cost of rework at around 5%. For example, a geniebelt.com blog post cites the 5% figure.

This would equate the cost of rework in the UK industry to £5.1bn. Several recent studies have provided support for use of 5% as an average approximation of rework in construction. For example, Hwang et al (2009) undertook a new study of 177 construction projects and found that the average owner reported rework cost was 5.0% across all projects. Further, research by the USA’s Construction Industry Institute (CII) reveals that direct costs caused by rework average 5% of total construction costs (CII 2005) (but range from 0-25%). While across projects the average cost may be in the region of 5%, the reported disparity indicates that the degree and cost of rework is highly context sensitive."
Principal Causes of Error,"The answer to the question as to the principal causes of error and rework in the construction industry is not straightforward. Reason (1995) describes errors as arising in one of three ways:

• failures of intention where the plan is inadequate (failure to plan). Reason (1995) terms these failures of intention ‘mistakes’ and distinguishes between :  rule based mistakes which involve the misapplication of a rule, the application of the wrong rule, or not applying the right rule for a given context; and knowledge based mistakes which occur in novel situations and require significant cognitive processing, which is prone to bias.

• failures in execution (slips and lapses), where a plan is adequate but the actions do not go as planned. These can be further sub-categorised as failures of  recognition;  attention;  memory; or  selection. Slips and lapses usually occur in familiar surroundings while someone is performing a routine task.

• deliberate violations which can arise from:  routine violations, or cutting corners;  optimising violations, to address a personal objective (such as going home early) rather than task objectives; and  situational violations which ‘offer the only path available to getting the job done, or when the procedures are seen to be inappropriate for the present situation’.

Each of these causes has different psychological origins and requires different counter measures (see Michie et al. 2011 for a discussion on diagnosing and encouraging behaviour change).

These classifications provide a comprehensive basis to analyse the reason an identified error was made. However, in a complex supply chain the root cause of an error may not be immediately apparent. Accordingly, researchers have also analysed error and rework caused by the nature of the deviation: carelessness, ignorance, or recklessness; by their consequences or causes (Reason 1995); by type of deviation; by construction phase origin; or by cause type – error, omission or change. There is little agreement in the literature as to which is the most appropriate approach to recording errors. Indeed, Reason (1995) suggests that there is no one taxonomy which can serve all needs in describing errors, and as such, the search for a unifying taxonomy may ultimately be fruitless."
